id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
100471;TECNO-OUTLET;1;1;4,2;1;4,2;5_green;platinum;2831;11890,2
101217;WSBTECHNO;1;1;5,97;1;5,97;5_green;silver;1133;6764,009999999999
104410;MONGETUNSA;1;1;7,68;1;7,68;4_light_green;;479;3678,72
110162;COMPUFANSTORE;1;1;114,8;500;57399,37;5_green;platinum;33733;3872548,4
111286;WACKY_;1;5;22,04;1551;32036,93;5_green;platinum;82878;1826631,1199999999
111621;WEST;2;15;520,6793333333334;15;7810,1900000000005;5_green;platinum;18170;9460743,486666668
112133;CINECENTRO PRODUCCIONES;1;1;20,4;1;20,4;;;3;61,199999999999996
113941;GSA TERMICOS;1;2;12,16;501;5870,570000000001;5_green;platinum;17654;214672,64
126246;CASA SALUDABLE;1;3;22,400000000000002;551;6974,4;5_green;gold;1372;30732,800000000003
135942;ALTONMUSIC;1;4;505,325;4;2021,3;5_green;platinum;3068;1550337,0999999999
156346;ZONAFERRETERA;1;1;71,99;1;71,99;5_green;gold;1023;73645,76999999999
203079;CAJASRUFY;1;3;74,24666666666667;751;33075,27;5_green;platinum;7847;582613,5933333334
334500;MARCE5;1;1;0,0;1;0,0;;;0;0,0
456651;TELOVENDOARGENTINA;1;1;45,6;1;45,6;5_green;gold;2521;114957,6
476411;RADARLP;1;2;300,0;2;600,0;5_green;platinum;11662;3498600,0
574743;NORBGARCIA;1;1;0,1;1;0,1;;;0;0,0
607723;KIRE_IMPRESIONES;1;1;8,55;50;427,5;5_green;platinum;3309;28291,95
613588;JOACOGARCIAC;1;1;0,0;1;0,0;;;4;0,0
689919;PRECIO-CALIDAD;1;1;72,0;1;72,0;5_green;platinum;11588;834336,0
692235;NEOPLAY.AR;1;1;450,81;1;450,81;5_green;silver;73;32909,13
838106;GMP-EQUIPAMIENTOS;1;2;25,79;51;1403,39;5_green;platinum;49900;1286921,0
874313;SELLOSKENOBI;1;1;11,4;500;5699,4;5_green;platinum;1917;21853,8
915304;LA-VANGUARDIA;1;1;0,0;1;0,0;5_green;;10;0,0
1024729;DANESCO_27;1;4;6,29;4;25,16;5_green;silver;350;2201,5
1061357;SELLERALLARGENTINA;1;1;77,99;1;77,99;5_green;platinum;21012;1638725,88
1093977;NUWAOK;1;4;14,1225;5200;53432,229999999996;5_green;platinum;12486;176333,535
1176849;MONTOYA IMPORTADORA;5;5;22,761666666666667;501;11297,21;5_green;platinum;192314;4377387,163333333
1382834;TECNOESHOP;2;2;10,21;2;20,42;5_green;platinum;49504;505435,84
1423579;ABBEYRENTACAR;1;1;0,0;1;0,0;;;0;0,0
1534239;4KRC;1;1;561,6;500;280799,69;5_green;platinum;26538;14903740,8
1690075;JRMOGOTES;1;1;96,0;1;96,0;;;0;0,0
1722276;MORON_ENERGY;2;1;18,24;2;36,48;5_green;gold;1537;28034,879999999997
1749388;PAPERLAND_OK;1;1;42,33;1;42,33;5_green;platinum;15878;672115,74
1755346;LUQUIS3;1;1;0,0;1;0,0;;;0;0,0
1868468;MARYLAFA;1;1;12,43;50;621,3;5_green;platinum;1839;22858,77
1969043;MODAS LU;1;1;96,0;1;96,0;5_green;;29;2784,0
1990714;PPI-MAQUINAS SRL;3;6;307,23999999999995;603;52738,15;5_green;platinum;18000;5530319,999999999
2099641;PRO-SOFT;1;1;77,76;1;77,76;5_green;platinum;5779;449375,04000000004
2122151;RAPI ARTE;1;2;14,625;600;6130,8;5_green;platinum;18516;270796,5
2158516;BIGPULP;1;1;96,0;1;96,0;;;0;0,0
2233212;ELECTRONICARAM;1;2;0,0;2;0,0;5_green;;13;0,0
2241787;PABGERVAL;2;6;33,5;452;11201,7;5_green;platinum;5180;173530,0
2292975;LEODAYTONA;1;1;56,7;50;2835,0;5_green;platinum;6426;364354,2
2344565;ANAANDI IMPORTS;1;5;22,918;802;15966,59;5_green;platinum;16422;376359,396
2347789;ARGENPRINT;2;6;133,3133333333333;104;3686,96;5_green;platinum;159081;21207618,379999995
2541907;SINEBI;1;1;66,01;1;66,01;5_green;platinum;2963;195587,63
2738014;TIENDA PORTALE.COM;1;1;4,96;1;4,96;5_green;platinum;30252;150049,92
2843902;LCS IMPORT;1;5;30,656;303;11492,59;5_green;platinum;25676;787123,456
2869419;LEO8824;1;1;780,0;1;780,0;;;0;0,0
2896339;LASER ATTRACTION;1;1;0,0;1;0,0;5_green;;87;0,0
2967303;FRANPATR2007;1;1;0,0;1;0,0;5_green;;51;0,0
3135574;MAGAZZINO ALMACEN;2;7;263,15;7;1842,05;5_green;platinum;78360;20620434,0
3137551;DANPER SRL;1;1;13,44;250;3359,88;5_green;platinum;21853;293704,32
3174787;KILLERBIKES;1;1;410,4;1;410,4;5_green;gold;2759;1132293,5999999999
3211913;LALESSANDRELLO;1;1;0,0;1;0,0;;;0;0,0
3255473;HAPPY--BUY;3;20;31,45285714285714;6001;169557,15;5_green;platinum;210824;6631017,154285714
3328386;DEPORAR;1;4;52,0475;5751;599525,06;5_green;platinum;65398;3403802,405
3453090;FADESU;1;5;208,8;5;1044,0;5_green;platinum;4876;1018108,8
3537671;ICH TIENDA;1;1;16,63;100;1662,96;5_green;platinum;2822;46929,86
3565890;ALE_DLS;1;1;71,64;100;7164,0;5_green;platinum;1525;109251,0
3696089;TIENDARUFFO;1;1;54,0;1;54,0;5_green;platinum;18435;995490,0
3740200;BALL_NUTRITION;2;1;51,02;2;102,04;5_green;platinum;12795;652800,9
3850629;COLECCIONABLES1777;1;3;20,96;3;62,88;5_green;silver;293;6141,280000000001
4086627;MAXI_889;1;1;0,0;1;0,0;;;5;0,0
4445641;ELCORRENTINO_10;1;1;0,0;1;0,0;5_green;;154;0,0
4641264;PHOTOSTORE;8;13;100,20285714285714;4004;250052,73;5_green;platinum;624550;62581694,428571425
4741725;ELVISS;1;2;0,0;2;0,0;4_light_green;;1;0,0
4776988;MANIACRECORDS;1;1;440,4;1;440,4;5_green;platinum;4231;1863332,4
4870572;CONFEBRAG101;1;1;45,41;250;11352,0;5_green;platinum;2076;94271,15999999999
5150960;ANIMALS RECORDS;2;13;25,402307692307694;13;330,23;5_green;platinum;4659;118349,35153846155
5191048;OUTDOOREXTREMO;1;2;0,0;2;0,0;5_green;platinum;6903;0,0
5201868;TECNO__POWER;2;1;107,9;2;215,8;5_green;platinum;948;102289,20000000001
5280580;BEYDAMAX;1;1;0,0;1;0,0;5_green;;430;0,0
5304120;GOMEZGABRIEL1;1;1;27,34;1;27,34;5_green;platinum;5697;155755,98
5427093;BA-ACCESORIOS;1;1;61,51;1;61,51;5_green;platinum;24263;1492417,13
5449262;SERBARBIERI2010;1;2;3,3600000000000003;2;6,720000000000001;5_green;silver;297;997,9200000000001
5480931;FEATHE;1;1;120,0;1;120,0;;;5;600,0
5481918;CALENS1932;1;1;0,0;1;0,0;5_green;;240;0,0
5525808;VALDUENDE;1;1;0,0;1;0,0;;;0;0,0
5594394;GONZALEZVIENTOS;1;4;35,144999999999996;4;140,57999999999998;5_green;platinum;12284;431721,17999999993
5602594;ALEXELECTRO1975;1;1;0,12;1;0,12;4_light_green;;9;1,08
5711985;COTILLON CONCEPT;1;1;7,56;100;756,48;5_green;platinum;9558;72258,48
5775166;CDS PATERNAL;1;1;18,0;1;18,0;5_green;platinum;6489;116802,0
5825968;JAVIERD2004;1;1;150,0;1;150,0;;;1;150,0
5837223;MECPRODUCTOS;1;2;12,99;2;25,98;5_green;platinum;5941;77173,59
5860436;QAZUOR;1;1;132,0;1;132,0;;;2;264,0
5992717;ENVASES.DEVOTO;2;3;45,43666666666667;15000;681522,0;5_green;platinum;23397;1063081,69
6533917;SERYOVI;1;3;47,4;3;142,2;;;0;0,0
